,start,end,pattern
,2020-04-09 12:30:00,2020-04-09 13:25:00,Double Bottom
,2020-04-10 11:10:00,2020-04-10 12:05:00,Double Top
,2020-04-13 10:10:00,2020-04-13 11:05:00,Double Top
,2020-04-13 10:45:00,2020-04-13 12:05:00,Double Top
,2020-04-13 10:45:00,2020-04-13 12:10:00,Double Top
,2020-04-13 14:25:00,2020-04-14 09:20:00,Double Top
,2020-04-14 13:40:00,2020-04-14 14:35:00,Double Bottom
,2020-04-15 13:45:00,2020-04-15 14:50:00,Double Top
,2020-04-15 13:50:00,2020-04-15 14:50:00,Double Bottom
,2020-04-17 11:25:00,2020-04-17 12:25:00,Double Top
,2020-04-17 11:25:00,2020-04-17 12:30:00,Double Bottom
,2020-04-17 11:30:00,2020-04-17 12:30:00,Double Bottom
,2020-04-21 14:45:00,2020-04-22 09:55:00,Double Top
,2020-04-30 11:10:00,2020-04-30 12:35:00,Double Top
,2020-04-30 11:30:00,2020-04-30 12:35:00,Double Top
,2020-05-01 10:30:00,2020-05-01 11:50:00,Double Top
,2020-05-01 10:30:00,2020-05-01 11:55:00,Double Top
,2020-05-07 14:45:00,2020-05-08 09:40:00,Double Bottom
,2020-05-27 14:20:00,2020-05-28 09:20:00,Double Top
,2020-05-27 14:25:00,2020-05-28 09:20:00,Double Top
,2020-05-28 11:35:00,2020-05-28 12:55:00,Double Top
,2020-05-28 14:50:00,2020-05-29 10:15:00,Double Top
,2020-05-29 12:20:00,2020-05-29 13:15:00,Double Top
,2020-06-03 10:45:00,2020-06-03 12:10:00,Double Top
,2020-06-05 10:25:00,2020-06-05 11:40:00,Double Top
,2020-06-05 13:50:00,2020-06-08 09:00:00,Double Top
,2020-06-16 13:15:00,2020-06-16 14:50:00,Double Top
,2020-06-22 10:45:00,2020-06-22 11:55:00,Double Top
,2020-06-25 10:00:00,2020-06-25 11:05:00,Double Bottom
,2020-06-26 10:20:00,2020-06-26 11:55:00,Double Top
,2020-06-30 10:25:00,2020-06-30 12:00:00,Double Top
,2020-06-30 10:45:00,2020-06-30 12:00:00,Double Top
,2020-06-30 10:55:00,2020-06-30 12:00:00,Double Top
,2020-07-03 13:30:00,2020-07-03 14:30:00,Double Top
,2020-07-03 13:35:00,2020-07-03 14:30:00,Double Top
,2020-07-03 14:10:00,2020-07-06 09:10:00,Double Top
,2020-07-07 11:45:00,2020-07-07 13:10:00,Double Top
,2020-07-07 11:45:00,2020-07-07 13:15:00,Double Top
,2020-07-07 13:30:00,2020-07-07 14:45:00,Double Top
,2020-07-07 14:50:00,2020-07-08 10:00:00,Double Top
