',start,end,pattern
0,2020-04-22 14:50:00,2020-04-23 10:20:00,Double Top
0,2020-04-23 13:55:00,2020-04-24 09:15:00,Double Top
0,2020-04-27 10:10:00,2020-04-27 11:35:00,Double Top
0,2020-04-28 12:45:00,2020-04-28 13:45:00,Double Top
0,2020-04-30 13:55:00,2020-05-01 09:00:00,Double Top
0,2020-05-01 14:30:00,2020-05-04 09:50:00,Double Top
0,2020-05-01 14:50:00,2020-05-04 09:50:00,Double Top
0,2020-05-04 10:50:00,2020-05-04 11:50:00,Double Top
0,2020-05-04 10:50:00,2020-05-04 11:50:00,Double Top
0,2020-05-05 12:05:00,2020-05-05 13:25:00,Double Top
0,2020-05-05 12:05:00,2020-05-05 13:25:00,Double Top
0,2020-05-06 11:00:00,2020-05-06 12:35:00,Double Top
0,2020-05-07 12:30:00,2020-05-07 14:00:00,Double Top
0,2020-05-07 12:30:00,2020-05-07 14:00:00,Double Top
0,2020-05-08 12:00:00,2020-05-08 13:20:00,Double Top
0,2020-05-08 12:00:00,2020-05-08 13:25:00,Double Top
0,2020-05-08 12:40:00,2020-05-08 14:05:00,Double Top
0,2020-05-12 12:00:00,2020-05-12 12:55:00,Double Top
0,2020-05-12 12:00:00,2020-05-12 12:55:00,Double Top
0,2020-05-14 10:25:00,2020-05-14 11:50:00,Double Top
0,2020-05-15 14:20:00,2020-05-18 09:45:00,Double Top
0,2020-05-19 13:20:00,2020-05-19 14:40:00,Double Top
0,2020-05-19 13:20:00,2020-05-19 14:45:00,Double Top
0,2020-05-20 10:55:00,2020-05-20 12:05:00,Double Top
0,2020-05-20 10:55:00,2020-05-20 12:05:00,Double Top
0,2020-05-20 14:30:00,2020-05-21 09:30:00,Double Top
0,2020-05-20 14:35:00,2020-05-21 09:30:00,Double Top
0,2020-05-22 09:00:00,2020-05-22 10:20:00,Double Top
0,2020-05-22 13:05:00,2020-05-22 14:35:00,Double Top
0,2020-05-27 10:50:00,2020-05-27 11:55:00,Double Top
0,2020-05-27 10:50:00,2020-05-27 11:55:00,Double Top
0,2020-05-27 11:30:00,2020-05-27 13:05:00,Double Top
0,2020-05-27 12:05:00,2020-05-27 13:05:00,Double Top
0,2020-05-28 12:25:00,2020-05-28 13:45:00,Double Top
0,2020-05-28 12:25:00,2020-05-28 13:45:00,Double Top
0,2020-05-28 13:20:00,2020-05-28 14:45:00,Double Top
0,2020-05-29 13:05:00,2020-05-29 14:10:00,Double Top
0,2020-05-29 13:05:00,2020-05-29 14:10:00,Double Top
0,2020-06-01 11:10:00,2020-06-01 12:25:00,Double Top
0,2020-06-02 12:15:00,2020-06-02 13:20:00,Double Top
0,2020-06-03 11:00:00,2020-06-03 12:35:00,Double Top
0,2020-06-04 11:10:00,2020-06-04 12:40:00,Double Top
0,2020-06-04 11:10:00,2020-06-04 12:45:00,Double Top
0,2020-06-12 11:55:00,2020-06-12 13:00:00,Double Top
0,2020-06-16 10:40:00,2020-06-16 11:45:00,Double Top
0,2020-06-16 10:45:00,2020-06-16 11:45:00,Double Top
0,2020-06-16 11:25:00,2020-06-16 12:30:00,Double Top
0,2020-06-16 11:30:00,2020-06-16 12:30:00,Double Top
0,2020-06-16 13:40:00,2020-06-16 14:35:00,Double Top
0,2020-06-17 12:15:00,2020-06-17 13:15:00,Double Top
0,2020-06-18 09:50:00,2020-06-18 11:05:00,Double Top
0,2020-06-19 12:30:00,2020-06-19 13:40:00,Double Top
0,2020-06-25 11:35:00,2020-06-25 13:10:00,Double Top
0,2020-06-25 11:35:00,2020-06-25 13:10:00,Double Top
0,2020-06-25 14:00:00,2020-06-26 09:35:00,Double Top
0,2020-06-30 12:05:00,2020-06-30 13:10:00,Double Top
